h_booking_id,booking_datetime,checkin_date,checkout_date,hotel_id,hotel_country_code,hotel_live_date,hotel_star_rating,accommadation_type_name,charge_option,h_customer_id,customer_nationality,guest_is_not_the_customer,guest_nationality_country_name,no_of_adults,no_of_children,no_of_extra_bed,no_of_room,origin_country_code,language,original_selling_amount,original_payment_method,original_payment_type,original_payment_currency,is_user_logged_in,cancellation_policy_code,is_first_booking,request_nonesmoke,request_latecheckin,request_highfloor,request_largebed,request_twinbeds,request_airport,request_earlycheckin,cancellation_datetime,hotel_area_code,hotel_brand_code,hotel_chain_code,hotel_city_code
-9.22319E+18,28/06/2018 21:15,09/07/2018 00:00,13/07/2018 00:00,6452,HK,28/06/2009 02:02,4,Hotel,Pay Now,6.00384E+18,China,0,China,2,0,0,1,CN,S.Chinese / Mainland,267.55,UNKNOWN,Invoice,CNY,FALSE,365D100P_100P,TRUE,,,,,,,,,1192,,,142
-9.22271E+18,10/08/2018 22:31,16/08/2018 00:00,17/08/2018 00:00,47729,CN,07/06/2011 11:52,4,Hotel,Pay Later,6.33773E+18,South Africa,0,South Africa,2,0,0,1,ZA,English,114.15,Visa,Credit Card,ZAR,FALSE,1D1N_1N,FALSE,1,0,0,0,1,0,0,,5617,902,600,1273
-9.22241E+18,14/09/2018 07:55,14/09/2018 00:00,15/09/2018 00:00,780431,KR,20/11/2014 15:43,4,Hotel,Pay Now,4.56948E+18,South Korea,0,South Korea,2,0,0,1,KR,Korean,115.79,MasterCard,Credit Card,KRW,FALSE,2D1N_1N,TRUE,1,0,0,0,0,0,0,,3819,,,2799
-9.22222E+18,25/06/2018 07:33,02/07/2018 00:00,03/07/2018 00:00,291365,JP,21/11/2011 12:27,3,Hotel,Pay Later,5.22327E+18,Singapore,0,Singapore,2,0,0,1,SG,English / United Kingdom,68.74,American Express,Credit Card,SGD,TRUE,1D1N_100P,FALSE,1,0,0,1,0,0,0,,2379,466,236,1448
-9.22113E+18,23/07/2018 10:06,09/08/2018 00:00,10/08/2018 00:00,479046,TH,06/06/2013 10:04,3,Resort,Pay Later,2.87917E+18,Thailand,0,Thailand,8,0,0,2,TH,Thai,127.76,MasterCard,Credit Card,THB,FALSE,14D100P_100P,TRUE,1,0,0,1,0,0,0,23/07/2018,1506,,,616
-9.22047E+18,03/05/2018 09:25,21/08/2018 00:00,23/08/2018 00:00,59272,PF,16/01/2014 08:03,3,Resort,Pay Later,4.87519E+17,UNKNOWN,1,Argentina,2,2,0,1,AR,English,330.36,MasterCard,Credit Card,ARS,FALSE,7D1N_1D100P_100P,TRUE,,,,,,,,03/05/2018,3146,,,1309
-9.22004E+18,15/08/2018 02:10,18/08/2018 00:00,19/08/2018 00:00,400966,TH,15/10/2012 11:45,3.5,Serviced Apartment,Pay Now,6.78663E+18,Thailand,0,Thailand,2,0,0,1,TH,English,31.48,MasterCard,Credit Card,THB,TRUE,1D1N_1N,FALSE,,,,,,,,,1703,,,2477
-9.21975E+18,11/07/2018 20:41,03/08/2018 00:00,06/08/2018 00:00,69287,JP,04/11/2009 08:07,3.5,Hotel,Pay Later,6.38073E+18,Taiwan,0,Taiwan,3,0,0,1,TW,T. Chinese / Taiwan,470.29,MasterCard,Credit Card,TWD,FALSE,1D1N_1N,FALSE,1,0,0,1,0,0,0,23/07/2018,3959,,,2249
-9.21973E+18,06/04/2018 21:19,22/07/2018 00:00,23/07/2018 00:00,2973895,ID,12/10/2017 10:58,4,Hotel,Pay Now,3.66525E+18,Saudi Arabia,0,Saudi Arabia,5,0,0,1,SA,Arabic,188.8,Visa,Credit Card,SAR,TRUE,3D100P,FALSE,,,,,,,,,744,10,297,88
-9.21959E+18,28/07/2018 05:39,28/07/2018 00:00,29/07/2018 00:00,1120617,TH,13/11/2015 16:18,3,Hotel,Pay Now,8.21271E+17,South Korea,0,South Korea,2,0,0,1,TH,Korean,25.62,Visa,Credit Card,KRW,TRUE,365D100P_100P,FALSE,1,0,0,0,0,0,0,,2663,,,2477
